,relation_type,relation_subtype,model,q_num,answer,correct,unanswered,score,has_line,has_point,has_region,has_indigenous,population,example_dist,predicted_dist,ratio,bias_term,country_found,state_found,entity_type,n_way
0,TOPOLOGICAL,Equals,gemini-1.5-pro,1,yes,correct,0,1.0,0,0,1,0,558000.0,,,,,0,0,region-region,
1,TOPOLOGICAL,Equals,gemini-1.5-pro,2,no,incorrect,0,0.0,0,0,1,0,41000.0,,,,,0,0,region-region,
2,TOPOLOGICAL,Equals,gemini-1.5-pro,3,no,correct,0,1.0,0,0,1,0,41000.0,,,,,0,0,region-region,
3,TOPOLOGICAL,Equals,gemini-1.5-pro,4,yes,correct,0,1.0,0,0,1,1,25912.0,,,,,0,0,region-region,
4,TOPOLOGICAL,Equals,gemini-1.5-pro,5,no,correct,0,1.0,0,0,1,1,1437.0,,,,,0,0,region-region,
5,TOPOLOGICAL,Equals,gemini-1.5-pro,6,yes,correct,0,1.0,0,0,1,1,2309338.0,,,,,0,0,region-region,
6,TOPOLOGICAL,Equals,gemini-1.5-pro,7,icatq,abstain,1,0.0,1,0,0,1,,,,,,0,0,line-line,
7,TOPOLOGICAL,Equals,gemini-1.5-pro,8,icatq,abstain,1,0.0,1,0,0,1,,,,,,0,0,line-line,
8,TOPOLOGICAL,Equals,gemini-1.5-pro,9,no,correct,0,1.0,1,0,0,0,,,,,,0,0,line-line,
9,TOPOLOGICAL,Equals,gemini-1.5-pro,10,icatq,abstain,1,0.0,1,0,0,0,,,,,,0,0,line-line,
10,TOPOLOGICAL,Disjoint,gemini-1.5-pro,11,no,correct,0,1.0,0,0,1,0,558000.0,,,,,0,0,region-region,
11,TOPOLOGICAL,Disjoint,gemini-1.5-pro,12,no,correct,0,1.0,0,0,1,0,41000.0,,,,,0,0,region-region,
12,TOPOLOGICAL,Disjoint,gemini-1.5-pro,13,no,correct,0,1.0,0,0,1,0,41000.0,,,,,0,0,region-region,
13,TOPOLOGICAL,Disjoint,gemini-1.5-pro,14,no,correct,0,1.0,0,0,1,1,25912.0,,,,,0,0,region-region,
14,TOPOLOGICAL,Disjoint,gemini-1.5-pro,15,no,incorrect,0,0.0,0,0,1,1,1437.0,,,,,0,0,region-region,
15,TOPOLOGICAL,Disjoint,gemini-1.5-pro,16,no,incorrect,0,0.0,1,0,1,0,,,,,,0,0,line-region,
16,TOPOLOGICAL,Disjoint,gemini-1.5-pro,17,icatq,abstain,1,0.0,1,0,0,1,,,,,,0,0,line-line,
17,TOPOLOGICAL,Disjoint,gemini-1.5-pro,18,icatq,abstain,1,0.0,1,0,0,1,,,,,,0,0,line-line,
18,TOPOLOGICAL,Disjoint,gemini-1.5-pro,19,no,correct,0,1.0,1,0,0,0,,,,,,0,0,line-line,
19,TOPOLOGICAL,Disjoint,gemini-1.5-pro,20,icatq,abstain,1,0.0,1,0,0,0,,,,,,0,0,line-line,
20,TOPOLOGICAL,Intersect,gemini-1.5-pro,21,yes.,correct,0,1.0,1,0,0,0,,,,,,0,0,line-line,
21,TOPOLOGICAL,Intersect,gemini-1.5-pro,22,yes,correct,0,1.0,1,0,0,0,,,,,,0,0,line-line,
22,TOPOLOGICAL,Intersect,gemini-1.5-pro,23,yes,incorrect,0,0.0,1,0,0,0,,,,,,0,0,line-line,
23,TOPOLOGICAL,Intersect,gemini-1.5-pro,24,icatq,abstain,1,0.0,1,0,0,0,,,,,,0,0,line-line,
24,TOPOLOGICAL,Intersect,gemini-1.5-pro,25,yes,correct,0,1.0,1,0,0,0,,,,,,0,0,line-line,
25,TOPOLOGICAL,Intersect,gemini-1.5-pro,26,yes,correct,0,1.0,1,0,1,0,110.0,,,,,0,0,line-region,
26,TOPOLOGICAL,Intersect,gemini-1.5-pro,27,no,correct,0,1.0,1,0,1,0,,,,,,0,0,line-region,
27,TOPOLOGICAL,Intersect,gemini-1.5-pro,28,yes,incorrect,0,0.0,1,0,1,0,,,,,,0,0,line-region,
28,TOPOLOGICAL,Intersect,gemini-1.5-pro,29,yes,correct,0,1.0,1,0,1,0,,,,,,0,0,line-region,
29,TOPOLOGICAL,Intersect,gemini-1.5-pro,30,yes,correct,0,1.0,1,0,1,0,,,,,,0,0,line-region,
30,TOPOLOGICAL,Touch,gemini-1.5-pro,31,yes,correct,0,1.0,0,0,1,0,,,,,,0,0,region-region,
31,TOPOLOGICAL,Touch,gemini-1.5-pro,32,no,correct,0,1.0,0,0,1,0,,,,,,0,0,region-region,
32,TOPOLOGICAL,Touch,gemini-1.5-pro,33,no,correct,0,1.0,0,0,1,0,,,,,,0,0,region-region,
33,TOPOLOGICAL,Touch,gemini-1.5-pro,34,yes,correct,0,1.0,0,0,1,0,,,,,,0,0,region-region,
34,TOPOLOGICAL,Touch,gemini-1.5-pro,35,no,correct,0,1.0,0,0,1,0,,,,,,0,0,region-region,
35,TOPOLOGICAL,Touch,gemini-1.5-pro,36,yes,correct,0,1.0,1,0,1,0,110.0,,,,,0,0,line-region,
36,TOPOLOGICAL,Touch,gemini-1.5-pro,37,yes,correct,0,1.0,1,0,0,0,,,,,,0,0,line-line,
37,TOPOLOGICAL,Touch,gemini-1.5-pro,38,yes,incorrect,0,0.0,1,0,1,0,,,,,,0,0,line-region,
38,TOPOLOGICAL,Touch,gemini-1.5-pro,39,yes,correct,0,1.0,1,0,1,0,,,,,,0,0,line-region,
